Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
34,"S Makonin, F Popowich",Nonintrusive load monitoring (NILM) performance evaluation: A unified approach for accuracy reporting,260,2015, Springer, Energy Efficiency,"… Load identification in nonintrusive load monitoring using steady-state and turn-on 
transient energy algorithms. In 2010 14th International Conference on Computer Supported …",https://link.springer.com/article/10.1007/s12053-014-9306-2,http://makonin.com/doc/ENEF_8(4).pdf,24
57,"ME Berges, E Goldman, HS Matthews…",Enhancing electricity audits in residential buildings with nonintrusive load monitoring,257,2010, Wiley Online Library, Journal of industrial …,"… We then discuss how nonintrusive load monitoring (NILM), a technique for identifying 
individual loads from the total power consumption of the building, can be used to support and …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1530-9290.2010.00280.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1530-9290.2010.00280.x,16
47,"M Figueiredo, A De Almeida, B Ribeiro",Home electrical signal disaggregation for non-intrusive load monitoring (NILM) systems,244,2012, Elsevier, Neurocomputing,"… Studies have shown that individual loads … non-intrusive load monitoring (NILM) approach. 
In this paper, we focus on the feature extraction and pattern recognition tasks for non-intrusive …",https://www.sciencedirect.com/science/article/pii/S0925231212003359,No PDF link,17
66,"R Gopinath, M Kumar, CPC Joshua…",Energy management using non-intrusive load monitoring techniques–State-of-the-art and future research directions,240,2020, Elsevier, Sustainable Cities and …,"… Therefore, efforts are being made to monitor and manage energy … , non-intrusive load 
monitoring (NILM) technique has become a popular and emerging approach to monitor events (on/…",https://www.sciencedirect.com/science/article/pii/S2210670720306326,https://www.researchgate.net/profile/Gopinath-Rajendiran-2/publication/343142087_Energy_management_using_non-intrusive_load_monitoring_techniques_-_State-of-the-art_and_future_research_directions/links/5f1a734445851515ef44cd19/Energy-management-using-non-intrusive-load-monitoring-techniques-State-of-the-art-and-future-research-directions.pdf,40
87,"Y Liu, X Wang, W You",Non-intrusive load monitoring by voltage–current trajectory enabled transfer learning,235,2018, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… transfer learning method for non-intrusive load monitoring. With proper trajectory 
preprocessing and color encoding techniques, different electric loads can be differentiated by the …",https://ieeexplore.ieee.org/abstract/document/8580416/,No PDF link,29
14,"L Pereira, N Nunes","Performance evaluation in non‐intrusive load monitoring: datasets, metrics, and tools—A review",232,2018, Wiley Online Library, Wiley Interdisciplinary Reviews: data …,"Non‐intrusive load monitoring (also known as NILM or energy disaggregation) is the 
process of estimating the energy consumption of individual appliances from electric power …",https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1265,https://wires.onlinelibrary.wiley.com/doi/pdf/10.1002/widm.1265,29
13,"SS Hosseini, K Agbossou, S Kelouwani…",Non-intrusive load monitoring through home energy management systems: A comprehensive review,232,2017, Elsevier, … and Sustainable Energy …,"… This paper presents a comprehensive study conducted to reveal significant inevitabilities 
of a well organized Non-intrusive Load Monitoring (NILM) that aids Smart Home (SH) idea to …",https://www.sciencedirect.com/science/article/pii/S1364032117307359,No PDF link,26
11,"K Basu, V Debusschere, S Bacha…",Nonintrusive load monitoring: A temporal multilabel classification approach,211,2014, ieeexplore.ieee.org, IEEE Transactions …,"… The possibility of applying a temporal multilabel classification approach in the domain of 
non-intrusive load monitoring is explored (non-event based method). A novel set of meta-…",https://ieeexplore.ieee.org/abstract/document/6915905/,https://www.academia.edu/download/37557452/ALL_TII-14-0143.pdf,18
58,"A Faustine, NH Mvungi, S Kaijage…",A survey on non-intrusive load monitoring methodies and techniques for energy disaggregation problem,208,2017, arxiv.org, arXiv preprint arXiv …,"… The worldwide recent adoption of smart-meter in smart-grid, has led to the rise of Non-Intrusive 
Load Monitoring (NILM); which enables estimation of appliance-specific power …",https://arxiv.org/abs/1703.00785,https://arxiv.org/pdf/1703.00785,23
48,"J Kim, TTH Le, H Kim",Nonintrusive load monitoring based on advanced deep learning and novel signature,201,2017, Wiley Online Library, Computational intelligence and …,"… Monitoring electricity consumption in the home is an important way to help reduce energy … 
Nonintrusive Load Monitoring (NILM) is existing technique which helps us monitor electricity …",https://onlinelibrary.wiley.com/doi/abs/10.1155/2017/4216281,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2017/4216281,22
51,"R Bonfigli, A Felicetti, E Principi, M Fagiani…",Denoising autoencoders for non-intrusive load monitoring: improvements and comparative evaluation,200,2018, Elsevier, Energy and …,"Non-Intrusive Load Monitoring (NILM) is the task of determining the appliances individual 
contributions to the aggregate power consumption by using a set of electrical parameters …",https://www.sciencedirect.com/science/article/pii/S0378778817314457,https://lirias.kuleuven.be/retrieve/735440,25
22,"AL Wang, BX Chen, CG Wang, D Hua",Non-intrusive load monitoring algorithm based on features of V–I trajectory,193,2018, Elsevier, Electric Power Systems Research,"Non-intrusive load monitoring (NILM) can monitor the status of electrical appliances on-line 
and provide detailed power consumption data, which is the basis for customers to perform …",https://www.sciencedirect.com/science/article/pii/S0378779617304911,No PDF link,24
65,"S Welikala, C Dinesh, MPB Ekanayake…",Incorporating appliance usage patterns for non-intrusive load monitoring and load forecasting,192,2017, ieeexplore.ieee.org, … on Smart Grid,"… of a Load Monitoring (LM) method that can predict the amount of flexible load available at … 
In contrast, Non-Intrusive Load Monitoring (NILM) approaches, in which only the total power …",https://ieeexplore.ieee.org/abstract/document/8039522/,https://ieeexplore.ieee.org/iel7/5165411/5446437/08039522.pdf,21
16,"O Parson, G Fisher, A Hersey, N Batra…",Dataport and NILMTK: A building data set designed for non-intrusive load monitoring,186,2015, ieeexplore.ieee.org, 2015 ieee global …,"Non-intrusive load monitoring (NILM), or energy disaggregation, is the process of using signal 
processing and machine learning to separate the energy consumption of a building into …",https://ieeexplore.ieee.org/abstract/document/7418187/,https://eprints.soton.ac.uk/381304/1/globalsip_smart_buildings_2015_camera_ready.pdf,17
36,"YH Lin, MS Tsai",Development of an improved time–frequency analysis-based nonintrusive load monitor for load demand identification,181,2013, ieeexplore.ieee.org, IEEE Transactions on Instrumentation and …,"… In addition, the construction of this type of load monitoring approaches is a complex task to 
consumers. Therefore, to simplify the load monitoring approach, researchers developed NILM …",https://ieeexplore.ieee.org/abstract/document/6675823/,No PDF link,14
38,"S Singh, A Majumdar",Deep sparse coding for non–intrusive load monitoring,180,2017, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,"… of Dataport dataset available in NILMTK (non-intrusive load monitoring toolkit) format, which 
contains 1 … Her research includes non intrusive load monitoring and machine learning. …",https://ieeexplore.ieee.org/abstract/document/7847445/,https://arxiv.org/pdf/1912.12128,20
19,"R Bonfigli, S Squartini, M Fagiani…",Unsupervised algorithms for non-intrusive load monitoring: An up-to-date overview,176,2015, ieeexplore.ieee.org, 2015 IEEE 15th …,"… One of the hottest topic in this field is represented by Non-Intrusive Load Monitoring (NILM): 
it refers to those techniques aimed at decomposing the consumption aggregated data …",https://ieeexplore.ieee.org/abstract/document/7165334/,https://www.researchgate.net/profile/Stefano-Squartini/publication/277009814_Unsupervised_Algorithms_for_Non-Intrusive_Load_Monitoring_an_Up-to-Date_Overview/links/55c4eb8208aeca747d6182c5/Unsupervised-Algorithms-for-Non-Intrusive-Load-Monitoring-an-Up-to-Date-Overview.pdf,16
91,"A Cominola, M Giuliani, D Piga, A Castelletti…",A hybrid signature-based iterative disaggregation algorithm for non-intrusive load monitoring,174,2017, Elsevier, Applied energy,"… Non-Intrusive Load Monitoring (NILM) techniques provide this information by decomposing 
the aggregated electric load … defined non-intrusive, NILM methods often require an intrusive …",https://www.sciencedirect.com/science/article/pii/S030626191631488X,No PDF link,19
