Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
27,G Dreyfus,Neural networks: methodology and applications,1129,2005, books.google.com,,"… of neural networks and related machine-learning techniques is definitely not due to brain 
imitation. In the present book, we show that artificial neural networks … neural networks contribute …",https://books.google.com/books?hl=en&lr=&id=-feS13CoyS4C&oi=fnd&pg=PR17&dq=Neural+Networks&ots=2jLepSkGBq&sig=5vwL6NdXANO0AIDgO-Gij6_ExEQ,54
35,F Crick,The recent excitement about neural networks,1126,1989, apsc450computationalneuroscience …, Nature,"… recent computer algorithms for neural networks seemed to promise a … neural nets are 
unrealistic in important respects. THERE has been a lot of excitement recently about neural nets…",https://apsc450computationalneuroscience.wordpress.com/wp-content/uploads/2019/01/crick1989.pdf,30
12,"A Novikov, D Podoprikhin, A Osokin…",Tensorizing neural networks,1124,2015, proceedings.neurips.cc, Advances in neural …,"… We will refer to a neural network with one or … neural network with 1024 hidden units and 
replace both fully-connected layers by the TT-layers. By setting all the TT-ranks in the network to …",https://proceedings.neurips.cc/paper/2015/hash/6855456e2fe46a9d49d3d3af4f57443d-Abstract.html,102
62,"KL Priddy, PE Keller",Artificial neural networks: an introduction,1105,2005, books.google.com,,"… descriptions for many of the artificial neural networks presented in this book, are cited in the 
… neural-network algorithms is provided in the appendixes as well. Artificial neural networks …",https://books.google.com/books?hl=en&lr=&id=BrnHR7esWmkC&oi=fnd&pg=PP13&dq=Neural+Networks&ots=UA2yVmbFMU&sig=DBZga7pCMNJn0g7f83TjKRS9keA,53
48,A Krogh,What are artificial neural networks?,1102,2008, nature.com, Nature biotechnology,"… Artificial neural networks are inspired by the early models of sensory processing by the 
brain. An artificial neural network can be created by simulating a network of model neurons …",https://www.nature.com/articles/nbt1386,61
22,"F Günther, S Fritsch",neuralnet: Training of neural networks,1077,2010, digitalcommons.unl.edu,,"… This makes artificial neural networks a valuable statistical tool… to train the neural network 
and the neural network learns an … corresponding neuron, and all data pass the neural network …",https://digitalcommons.unl.edu/r-journal/316/,67
85,BD Ripley,Neural networks and related methods for classification,1030,1994, Wiley Online Library, Journal of the Royal Statistical Society: Series B …,"… , machine learning and neural networks as well as multivariate … contains surprisingly little 
about neural networks, but this … in neural networks are not about the networks per se (Section 2) …",https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.2517-6161.1994.tb01990.x,32
87,BC Csáji,Approximation with artificial neural networks,1008,2001, researchgate.net, Faculty of Sciences  Etvs Lornd University  Hungary,"… be solved with neural networks? First we examine the feedforward neural networks without 
… Next we show that every boolean function can be computed by a feedforward neural network …",https://www.researchgate.net/profile/Balazs-Csaji/publication/357888472_Approximation_with_Artificial_Neural_Networks/links/61e5b56c5779d35951b55282/Approximation-with-Artificial-Neural-Networks.pdf,40
70,"M McCord-Nelson, WT Illingworth",A practical guide to neural nets,994,1991, dl.acm.org,,"… In an earlier review (review 9301-0009), I compared introductory books on artificial neural 
networks (ANNs) published during the last couple of years. A common weakness of all nine …",https://dl.acm.org/doi/abs/10.5555/103993,28
61,B Hkdh,Neural networks in materials science,961,1999, jstage.jst.go.jp, ISIJ international,"… Neural network analysis is a form of regression or classification … to neural networks and 
contains a review of someapp]ications of the technique in the context of materia]s science. …",https://www.jstage.jst.go.jp/article/isijinternational1989/39/10/39_10_966/_article/-char/ja/,36
80,"G Bebis, M Georgiopoulos",Feed-forward neural networks,933,1994, ieeexplore.ieee.org, Ieee Potentials,"… network size for a given application. Network size involves in the case of layered neural 
network architectures, the number of layers in a network, the number of nodes per layer, and the …",https://ieeexplore.ieee.org/abstract/document/329294/,29
99,R Yuste,From the neuron doctrine to neural networks,914,2015, nature.com, Nature reviews neuroscience,"… The subsequent growth of neural network models is discussed, highlighting results obtained 
with new multineuronal recording methods. I suggest that neuronal network models could …",https://www.nature.com/articles/nrn3962,83
6,"J Zou, Y Han, SS So",Overview of artificial neural networks,817,2009, Springer, Artificial neural networks: methods and applications,"… neural network gives birth to an artificial neural network (ANN). In this chapter, we first discuss 
the biological neural networks … Finally, we review several examples of neural networks. …",https://link.springer.com/protocol/10.1007/978-1-60327-101-1_2,48
72,JJ Hopfield,Artificial neural networks,785,1988, ieeexplore.ieee.org, IEEE Circuits and Devices Magazine,"… To understand how neural networks compute, we will examine the electronic circuit of an 
artificial neural network. The elements of the hardware (Fig. 4) are a set of amplifiers with …",https://ieeexplore.ieee.org/abstract/document/8118/,21
31,"A Lapedes, R Farber",How neural nets work,770,1987, proceedings.neurips.cc, Neural information processing …,"… neural network operation and relates neural networks to well … been displayed in neural 
network's capabilities to perform a … done on the ability of neural networks to process floating point …",https://proceedings.neurips.cc/paper/1987/hash/093f65e080a295f8076b1c5722a46aa2-Abstract.html,20
39,"D Anderson, G McNeill",Artificial neural networks technology,754,1992, academia.edu, Kaman Sciences Corporation,"… neural network models make today's neural networks just simple abstractions of the real 
neural networks … As this research continues, more powerful self learning networks may become …",https://www.academia.edu/download/33786328/Artificial_Neural_Networks_Technology.pdf,22
25,T Khanna,Foundations of neural networks,750,1990, dl.acm.org,,"… neural networks as emphasized in Rumelhart and McClelland [4,5]. The emphasis in this 
review is on neurally inspired computers or artificial neural networks (… ) of neural networks for …",https://dl.acm.org/doi/abs/10.5555/103991,21
98,"M Feindt, U Kerzel",The NeuroBayes neural network package,750,2006, Elsevier, Nuclear Instruments and Methods in Physics Research …,"… We present a sophisticated neural network package based on Bayesian statistics which can 
… The network provides numerous possibilities to automatically preprocess the input variables …",https://www.sciencedirect.com/science/article/pii/S0168900205022679,38
23,GE Hinton,How neural networks learn from experience,739,1992, JSTOR, Scientific American,"… by creating networks of artificial neurons. We con struct these neural networks by first trying 
… our models are necessarily gross idealizations of real networks of neurons. Naturally, we en …",https://www.jstor.org/stable/24939221,22
11,"DE Rumelhart, B Widrow, MA Lehr",The basic ideas in neural networks,721,1994, go.gale.com, Communications of the ACM,"… of such neural network systems; … neuron as the basic processing unit. Each such processing 
unit is characterized by an activity level (representing the state of polarization of a neuron…",https://go.gale.com/ps/i.do?id=GALE%7CA15061351&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00010782&p=AONE&sw=w,23
15,"J Yu, L Yang, N Xu, J Yang, T Huang",Slimmable neural networks,718,2018, arxiv.org, arXiv preprint arXiv:1812.08928,"… We present a simple and general method to train a single neural network executable at 
different … individual networks with different width configurations, we train a shared network with …",https://arxiv.org/abs/1812.08928,90
29,"A Krenker, J Bešter, A Kos",Introduction to the artificial neural networks,702,2011, researchgate.net, Artificial Neural Networks …,"… Although the working principles and simple set of rules of artificial neuron looks like nothing 
… them into artificial neural networks (Fig. 2.). These artificial neural networks use simple fact …",https://www.researchgate.net/profile/Kenji-Suzuki-2/publication/319316102_Artificial_Neural_Networks_-_Methodological_Advances_and_Biomedical_Applications/links/59a42f16aca272a6461bb35e/Artificial-Neural-Networks-Methodological-Advances-and-Biomedical-Applications.pdf#page=15,47
56,"AD Dongare, RR Kharde, AD Kachare",Introduction to artificial neural network,666,2012, Citeseer, International Journal of …,"… Neural Network (ANN) as a tool for analysis of different parameters of a system. An Artificial 
Neural Network … The neuron performs two functions, namely, collection of inputs & generation …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=04d0b6952a4f0c7203577afc9476c2fcab2cba06,48
37,"B Warner, M Misra",Understanding neural networks as statistical tools,648,1996, Taylor & Francis, The american statistician,"… neural networks. We compare the performance of regression analysis with that of neural 
networks on … We show that neural networks act as a type of nonparametric regression model, …",https://www.tandfonline.com/doi/abs/10.1080/00031305.1996.10473554,22
50,J Bouvrie,Notes on convolutional neural networks,642,2006, mit.edu,,"… network automatically provides some degree of translation invariance. This particular kind 
of neural network … of classical backpropagation in fully connected networks, followed by a …",http://web.mit.edu/jvb/www/papers/cnn_tutorial.pdf,32
89,D Saad,On-line learning in neural networks,636,1999, dl.acm.org,,"… This paper focuses on online learning procedures for locally recurrent neural nets with 
emphasis on multilayer perceptron (MLP) with infinite impulse response (IIR) synapses and its …",https://dl.acm.org/doi/abs/10.5555/304710,24
19,"Y Wu, J Feng",Development and application of artificial neural network,627,2018, Springer, Wireless Personal Communications,"… Therefore, this paper reviews and summarizes artificial neural network, and hopes that … 
neural network. This paper first reviews the development history of artificial neural network and its …",https://link.springer.com/article/10.1007/s11277-017-5224-x,78
9,J Lawrence,Introduction to neural networks,605,1993, dl.acm.org,,"… The true neural network story starts with chapter 6, “Neural Network Theory,” and 
proceeds with two chapters on neural network models—an overview of models in chapter 7 …",https://dl.acm.org/doi/abs/10.5555/184210,18
21,DM Skapura,Building neural networks,592,1996, books.google.com,,"… information processing, a review chapter in which I summarize the operation of the most 
popular neural network processing models, a chapter dedicated to the practical issues of …",https://books.google.com/books?hl=en&lr=&id=RaRbNBqGR1oC&oi=fnd&pg=PA1&dq=Neural+Networks&ots=2lfASpdrF8&sig=GOcBTQmozQFtiiPhU9zFiUYt5FI,20
71,"J Gasteiger, J Zupan",Neural networks in chemistry,557,1993, Wiley Online Library, Angewandte Chemie International …,"… In this review the term neural networks always refers to “artificial neural networks”, because 
these were developed in order to emulate the biological neural networks of the human brain. …",https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.199305031,17
81,"HH Aghdam, EJ Heravi",Guide to convolutional neural networks,555,2017, Springer, New York  NY: Springer,"… In order to design a neural network, one must have the basic knowledge about the 
underlying process of neural network and training algorithms. Implementing a neural network …",https://link.springer.com/content/pdf/10.1007/978-3-319-57550-6.pdf,62
13,AI Galushkin,Neural networks theory,544,2007, books.google.com,,"… neural networks operating on nonstationary patterns, selection of initial conditions for neural 
network adjustment, design of neural … neural network functional liability, and neural network …",https://books.google.com/books?hl=en&lr=&id=ULds8NuzLtkC&oi=fnd&pg=PA1&dq=Neural+Networks&ots=0licMl9ecm&sig=jDQq1fNPwW0sHbdlKiSp4KYsO70,29
40,S Walczak,Artificial neural networks,504,0,global.com,,"This chapter examines the history of artificial neural networks research through the present 
day. The components of artificial neural network architectures and both unsupervised and …",https://www.igi-global.com/chapter/artificial-neural-networks/183727,0
14,"E Grossi, M Buscema",Introduction to artificial neural networks,474,2007, journals.lww.com, European journal of gastroenterology & …,"The coupling of computer science and theoretical bases such as nonlinear dynamics and 
chaos theory allows the creation of ‘intelligent’agents, such as artificial neural networks (ANNs)…",https://journals.lww.com/eurojgh/FullText/2007/12000/Introduction_to_artificial_neural_networks.5.aspx,25
49,C Gershenson,Artificial neural networks for beginners,464,2003, arxiv.org, arXiv preprint cs/0308031,"… There are a wide variety of ANNs that are used to model real neural networks, and study … 
This exercise is to become familiar with artificial neural network concepts. Build a network …",https://arxiv.org/abs/cs/0308031,20
16,"M Alber, S Lapuschkin, P Seegerer, M Hägele…",iNNvestigate neural networks!,462,2019, jmlr.org, Journal of machine …,"… the most complex neural network architectures. Despite these arguments neural networks are 
… analysis of image classifications for variety of state-of-the-art neural network architectures. …",http://www.jmlr.org/papers/v20/18-540.html,66
64,"DB Fogel, LJ Fogel, VW Porto",Evolving neural networks,447,1990, Springer, Biological cybernetics,"… Neural networks are parallel processing structures that provide the capability to perform various 
pattern recognition tasks. A network … for training a general neural network. This approach …",https://link.springer.com/article/10.1007/BF00199581,12
76,"MW Craven, JW Shavlik",Using neural networks for data mining,447,1997, Elsevier, Future generation computer systems,"… In Section 2, we consider the applicability of neuralnetwork methods to the task of data … to 
consider using neural networks for such tasks, and we discuss why trained neural networks are …",https://www.sciencedirect.com/science/article/pii/S0167739X97000228,15
67,"KL Du, MNS Swamy",Neural networks in a softcomputing framework,441,2006, books.google.com,,"… , we, however, decided to write an advanced textbook on neural networks for graduate 
students. More specifically, neural networks can be used in system identification, control, …",https://books.google.com/books?hl=en&lr=&id=FUA4BcSCRt4C&oi=fnd&pg=PR23&dq=Neural+Networks&ots=S-CkshnYfK&sig=REBU3qH0NtOoZwCW7n4C2bMYpS8,22
96,"AN Michel, JA Farrell, W Porod",Qualitative analysis of neural networks,426,1989, ieeexplore.ieee.org, IEEE Transactions on Circuits …,"… networks. The results of the present paper are primarily concerned with the analysis of the 
recall abilities of neural networks (by … in neural network design and in neural network learning …",https://ieeexplore.ieee.org/abstract/document/20200/,12
84,D Hammerstrom,Neural networks at work,402,1993, ieeexplore.ieee.org, IEEE spectrum,"The benefits of neural networks and the types of application for which they are suited are 
outlined. Four representative applications are described in enough detail to show how they …",https://ieeexplore.ieee.org/abstract/document/214579/,12
38,"P Picton, P Picton",What is a neural network?,398,1994, Springer,,"… Neural networks are pattern classifiers, but not all pattern classifiers are neural networks. 
The next step is therefore to introduce some other features that distinguish neural networks …",https://link.springer.com/content/pdf/10.1007/978-1-349-13530-1_1.pdf,12
63,PJ Antsaklis,Neural networks for control systems,395,1990, nd.edu, IEEE Transactions on Neural Networks,"… to neural networks is given in [l], where the emphasis is toward pattern recognition, an area 
that is particularly well suited for neural network applications. Neural networks have been the …",https://www3.nd.edu/~pantsakl/Publications/80-CSM90.pdf,11
74,"M Caudill, C Butler",Understanding neural networks; computer explorations,378,1992, dl.acm.org,,"… of Recurrent Neural Network architectures. We explored the chaotic nature of state-of-the-art 
Recurrent Neural Networks: Vanilla Recurrent Network and Recurrent Highway Networks. …",https://dl.acm.org/doi/abs/10.5555/573651,11
58,S Grossberg,Recurrent neural networks,367,2013, scholarpedia.org, Scholarpedia,"… Since this work focused on individual neurons rather than neural networks, it will not be … 
of neural networks that form the foundation of most current biological neural network research (…",http://scholarpedia.org/article/Recurrent_neural_network,28
24,"MT Hagan, HB Demuth",Neural networks for control,364,1999, ieeexplore.ieee.org, Proceedings of the 1999 American …,"… neural networks and to explain how they can be used in control systems. We introduce the 
multilayer perceptron neural network … Care must be taken, when training perceptron networks, …",https://ieeexplore.ieee.org/abstract/document/786109/,13
93,D Hammerstrom,Working with neural networks,362,1993, ieeexplore.ieee.org, IEEE spectrum,"… These topics are the focus of this article, the second of two on neural networks [see “Neural 
networks at work,” June, pp. 26-321. Like other pattern recognition techniques, neural …",https://ieeexplore.ieee.org/abstract/document/222230/,11
34,P Peretto,An introduction to the modeling of neural networks,354,1992, books.google.com,,"… The second part is devoted to the dynamics of neuronal states, and … neural networks in 
artificial intelligence, expert systems, optimization problems, and the construction of actual neural …",https://books.google.com/books?hl=en&lr=&id=DsT8oq1giP4C&oi=fnd&pg=PR13&dq=Neural+Networks&ots=6kzsjftfUx&sig=-VBAHQstz3_fB6SMr3DpnzhHnfg,10
1,"H Abdi, D Valentin, B Edelman",Neural networks,336,1999, books.google.com,,"… Because neural network models have strong relationships with statistical models, we also 
discuss the interpretation of neural networks as statistical models in each chapter. The models …",https://books.google.com/books?hl=en&lr=&id=ZEID3w9STOUC&oi=fnd&pg=PP7&dq=Neural+Networks&ots=sALyzYXFWL&sig=4wMgiZnM5HtJEeC10aiyPBqHqyU,12
32,"M Kim, P Smaragdis",Bitwise neural networks,330,2016, arxiv.org, arXiv preprint arXiv:1601.06071,"… a neural network that efficiently represents a set of Boolean functions between all binary 
inputs and outputs, we propose a process for developing and deploying neural networks whose …",https://arxiv.org/abs/1601.06071,33
45,HS Stern,Neural networks in applied statistics,320,1996, Taylor & Francis, Technometrics,"… The multilayer feedforward neural network uses a nonlinear function of the predictors to … 
specifying a neural network model and evaluate the accuracy of neural network models relative …",https://www.tandfonline.com/doi/abs/10.1080/00401706.1996.10484497,11
79,"K Xu, J Li, M Zhang, SS Du, K Kawarabayashi…",What can neural networks reason about?,319,2019, arxiv.org, arXiv preprint arXiv …,"… We begin by introducing notations and summarizing common neural networks for reasoning 
tasks. Let S denote the universe, ie, a configuration/set of objects to reason about. Each …",https://arxiv.org/abs/1905.13211,46
